0, 60, 55, 52, 48, Cmajor
0.5, -60, -55, -52, -48, Cmajor
1.0, 62, 55, 50, 47, Gmajor
1.5, -62, -55, -50, -47, Gmajor
2.0, 64, 55, 48, 48, Cmajor
2.5, -64, -55, -48, -48, Cmajor
3.0, 62, 55, 48, 43, Cother
3.5, -62, -55, 47, -43, Gmajor
4.0, 60, 55, 48, 45, Aminor
4.5, -60, 54, -48, -45, F#diminished
5.0, 59, 55, 50, 47, Gmajor
5.5, -59, -55, -50, 48, Gmajor
6.0, 57, 54, 50, 50, Dmajor
6.5, -57, -54, 48, -50, Dmajor
7.0, 55, 50, 47, 43, Gmajor
7.5, -55, -50, -47, -43, Gmajor
8.0, 60, 57, 52, 45, Aminor
8.5, -60, -57, -52, -45, Aminor
9.0, 62, 55, 50, 47, Gmajor
9.5, -62, -55, -50, -47, Gmajor
10.0, 64, 55, 48, 48, Cmajor
10.5, -64, -55, 47, -48, Cmajor
11.0, 65, 62, 45, 50, Dminor
11.5, -65, -62, 47, -50, Bdiminished
12.0, 64, 55, 48, 52, Cmajor
12.5, -64, -55, -48, 53, Cmajor
13.0, 62, 55, 48, 55, Cother
13.5, -62, -55, 47, -55, Gmajor
14.0, 60, 55, 52, 48, Cmajor
14.5, -60, -55, -52, -48, Cmajor
15.0, -60, -55, -52, -48, Cmajor
15.5, -60, -55, -52, -48, Cmajor
16.0, 60, 55, 52, 48, Cmajor
16.5, -60, -55, -52, -48, Cmajor
17.0, 62, 55, 50, 47, Gmajor
17.5, -62, -55, -50, -47, Gmajor
18.0, 64, 55, 48, 48, Cmajor
18.5, -64, -55, -48, -48, Cmajor
19.0, 62, 55, 48, 43, Cother
19.5, -62, -55, 47, -43, Gmajor
20.0, 60, 55, 48, 45, Aminor
20.5, -60, 54, -48, -45, F#diminished
21.0, 59, 55, 50, 47, Gmajor
21.5, -59, -55, -50, 48, Gmajor
22.0, 57, 54, 50, 50, Dmajor
22.5, -57, -54, 48, -50, Dmajor
23.0, 55, 50, 47, 43, Gmajor
23.5, -55, -50, -47, -43, Gmajor
24.0, 60, 57, 52, 45, Aminor
24.5, -60, -57, -52, -45, Aminor
25.0, 62, 55, 50, 47, Gmajor
25.5, -62, -55, -50, -47, Gmajor
26.0, 64, 55, 48, 48, Cmajor
26.5, -64, -55, 47, -48, Cmajor
27.0, 65, 62, 45, 50, Dminor
27.5, -65, -62, 47, -50, Bdiminished
28.0, 64, 55, 48, 52, Cmajor
28.5, -64, -55, -48, 53, Cmajor
29.0, 62, 55, 48, 55, Cother
29.5, -62, -55, 47, -55, Gmajor
30.0, 60, 55, 52, 48, Cmajor
30.5, -60, -55, -52, -48, Cmajor
31.0, -60, -55, -52, -48, Cmajor
31.5, -60, -55, -52, -48, Cmajor
32.0, 64, 60, 55, 48, Cmajor
32.5, -64, -60, -55, 47, Cmajor
33.0, 65, 60, 57, 45, Fmajor
33.5, -65, -60, -57, -45, Fmajor
34.0, 67, 59, 50, 43, Gmajor
34.5, -67, -59, -50, -43, Gmajor
35.0, 65, 60, 57, 45, Fmajor
35.5, -65, -60, -57, 47, Fmajor
36.0, 64, 60, 55, 48, Cmajor
36.5, -64, -60, -55, -48, Cmajor
37.0, 62, 60, 55, 43, Cother
37.5, -62, 59, -55, -43, Gmajor
38.0, 64, 60, 55, 36, Cmajor
38.5, -64, -60, -55, -36, Cmajor
39.0, -64, -60, -55, -36, Cmajor
39.5, -64, -60, -55, -36, Cmajor
40.0, 67, 60, 52, 48, Cmajor
40.5, -67, -60, -52, 46, Cmajor
41.0, 67, 60, 52, 45, Aminor
41.5, -67, -60, -52, 43, Cmajor
42.0, 69, 60, 53, 41, Fmajor
42.5, -69, -60, 52, -41, Fmajor
43.0, 67, 60, 50, 43, Cother
43.5, -67, 59, -50, -43, Gmajor
44.0, 65, 57, 48, 45, Fmajor
44.5, -65, -57, 50, 47, Bdiminished
45.0, 64, 55, 52, 48, Cmajor
45.5, -64, 57, 54, -48, F#diminished
46.0, 62, 59, 55, 43, Gmajor
46.5, -62, -59, -55, -43, Gmajor
47.0, -62, -59, -55, -43, Gmajor
47.5, -62, -59, -55, -43, Gmajor
48.0, 64, 60, 55, 48, Cmajor
48.5, -64, -60, 53, -48, Fother
49.0, 67, 60, 52, 36, Cmajor
49.5, -67, 59, -52, -36, Cmajor
50.0, 65, 57, 53, 38, Dminor
50.5, -65, 59, -53, -38, Bdiminished
51.0, 64, 60, 55, 40, Cmajor
51.5, 62, 59, -55, -40, Eminor
52.0, 60, 57, 57, 41, Fmajor
52.5, -60, -57, 55, 40, Aminor
53.0, 62, 59, 53, 38, Bdiminished
53.5, -62, -59, -53, -38, Bdiminished
54.0, 64, 60, 55, 36, Cmajor
